respondent_id,Age,Sex,Ethnicity simplified,Political spectrum (us),Student status,Employment status
9451bab864b6e2060bba589ee3d94022,53,Female,White,Conservative,No,Part-Time
ccce4ba0e5f38d30cef317775792901f,63,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
df1f56aef74ae7f241bdb84bf45106a1,36,Female,Mixed,Liberal,Yes,Part-Time
2745a5e3fe01240804d712a228bacb76,75,Female,White,Conservative,No,Unemployed (and job seeking)
281d00c2a48426d3edfa309a441ae945,40,Female,Black,Liberal,No,Unemployed (and job seeking)
22664e2d6db7cce3f04860d31b746233,40,Male,White,Moderate,No,Full-Time
e99783de70cf2e5d2ac153b9fbe6c68e,42,Male,White,Liberal,No,Unemployed (and job seeking)
4b1409e622b3b7bf11f2fedadc28605a,37,Female,White,Conservative,No,Full-Time
3417dc41e4f1664ff84cc150a85a7a35,54,Male,Black,Liberal,No,Part-Time
ac3d8150a0ee4db67011d966971a31eb,59,Female,White,Conservative,No,Full-Time
328df91e577c61f558db3fa729df50f7,46,Female,White,Liberal,No,DATA_EXPIRED
eb5af72542374aff67c7049e616e56de,53,Male,White,Liberal,No,Part-Time
dc02948482a8f0d433e7541e23123b6c,53,Male,White,Liberal,No,Full-Time
589e1e8db5f5e4bf0b6e6f89c98228e4,60,Female,Black,Liberal,No,Full-Time
d9031c81fbbf4d536aedde48e7ca770a,40,Male,White,Conservative,No,Due to start a new job within the next month
db8caf476b8c8a50b80be702bb21506c,31,Male,Mixed,Liberal,No,Full-Time
276639005cec6d4175d6ef97f4408154,30,Female,Mixed,Liberal,No,Full-Time
5a414d80ba6c57090e47493458410ed6,22,Female,Asian,Liberal,Yes,Unemployed (and job seeking)
e4a3ba401d80853d69904c9f904b2572,48,Female,White,Liberal,No,Full-Time
ab6e3b3c05274986793a10771f669993,51,Female,White,Conservative,No,Part-Time
74328aac77ffb398c50f2f8bdc57081b,33,Male,White,Conservative,No,Other
29b82c4757718795314dd767cf686c98,53,Male,White,Conservative,No,Full-Time
b3ec130c4e64121d77f7828f772555b2,55,Male,Mixed,Conservative,No,Part-Time
a24fecc5a60c1cdd1f9279fcc6dd1c05,41,Male,White,Liberal,No,Unemployed (and job seeking)
e0304f40d78f6e5ea64d0eed7d5e80be,64,Male,White,Conservative,No,Full-Time
1801df5418ccd4f84ccdf098880ac360,65,Male,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66b6911aa1f51113f4c9ccd62bfb7b01,72,Male,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
c80c9831fbbbf582800d101947cd61d3,25,Female,Asian,Moderate,Yes,Full-Time
bb87173f3b10d8e4ac4ce5a9c23c1066,46,Female,White,Liberal,No,Unemployed (and job seeking)
e5a22a6a26176f20ef6dd0f0ca262f5e,45,Female,Mixed,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
d55599d902aac7b6330571f19ca3fa0e,71,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
275dcf6c5bf011087504a69e8a5ddf0f,33,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
c30b47ab2b11b04a0b49236b0bf2d798,32,Female,White,Moderate,No,Other
711e72fd1de7cde1ad34a95c4def5bfa,30,Male,White,Liberal,No,Full-Time
a9ccfa86f99a6345f20fd407bea38502,41,Male,Mixed,Moderate,No,Full-Time
1c03f62eef1c1ab59629f4ee999dc1b9,27,Female,Asian,Liberal,Yes,Part-Time
d7827548026c0e13182f0c3944655158,37,Male,White,Conservative,No,Full-Time
2e41f565ced328036d80934c1ae3f0c4,42,Female,Black,Liberal,No,Unemployed (and job seeking)
4c2ac7237127de768956484b9cbbc699,22,Female,White,Liberal,Yes,Full-Time
1de5ae0dd2719c0671625bfa8d7abcb3,20,Female,White,Conservative,No,Part-Time
6c3e6968a9102455ba868f9518407fd9,36,Female,White,Liberal,No,Full-Time
7e6d3113bca235d50fea5ec24f7bb7ba,28,Male,Black,Liberal,Yes,Full-Time
e4f4442d37402a6f6e60b76eed213c7f,46,Female,White,Moderate,No,Part-Time
ad89dd4938e4dc79fd689dcb64e64709,35,Female,Black,Liberal,Yes,Other
ce15d9fc8e5744946988fd2a17ed3614,36,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2dee51648fdb2c410128d47eaebe8e0a,37,Female,Asian,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
27adb34b6d8a4317395ebd13dc0be7d7,56,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
79a8485b538ecdc262a045d3c7012426,53,Female,White,Liberal,No,Full-Time
87210b73a1f8f2effb8162655f774664,34,Male,Black,Moderate,No,Full-Time
e834d37b4d191fdb2815531eeacb7ac4,44,Female,White,Conservative,Yes,Full-Time
9334015b08d31686ff09179b8834ad57,61,Female,Black,Moderate,No,Unemployed (and job seeking)
18acc3dea3add536f5585ec0ac1ed729,40,Female,Prefer not to say,Conservative,No,Due to start a new job within the next month
3cf11a979e7e7124557c538cdae7cb94,50,Female,White,Conservative,No,Unemployed (and job seeking)
295172514b9c76702be71ecc254919ea,46,Female,White,Conservative,No,Part-Time
636a7a7828aa86bee482c3758c3e8992,37,Male,White,Conservative,No,Full-Time
dec3a0b1740df36fd1fdada20e70a462,49,Female,White,Liberal,Yes,Unemployed (and job seeking)
2cee10536826aa55fea67624a7a17626,29,Male,White,Conservative,No,Full-Time
bd697ce8aa3deac29016a43e1d950617,22,Female,White,Liberal,No,Part-Time
6382f8257682075d8c62e61741a8cab1,30,Male,White,Liberal,No,Full-Time
cf445fc581baf7fa21585e4049021f5d,44,Female,White,Liberal,No,Unemployed (and job seeking)
7a7ca0b8155b6ebbe894f3358d3038cb,51,Female,White,Liberal,No,Other
a17535c7a710d4b96fca87b2b593e1d5,55,Female,Black,Liberal,No,Full-Time
42f6fed7fb76e9341b8acea3af78e2b3,52,Male,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
0a64ffd1dd2e6ec9030d633ff0876190,50,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ab17e68a0130c02fa35939f40ba01b21,49,Male,White,Liberal,No,Full-Time
e73167199db3818b80ef5dda2cdaef62,29,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
9162195b7a7d871d339d3d520c2f7120,58,Male,Asian,Liberal,No,Full-Time
01f1588ac598a52ef0f5b1984a41a2c9,18,Female,White,Moderate,Yes,Unemployed (and job seeking)
b7e8e4c60efeac9c9bc7d53abce0330b,27,Female,White,Moderate,No,Unemployed (and job seeking)
1fd052605bbaccef238d6dfa4c4e2f95,25,Male,White,Conservative,No,Full-Time
6dfab4a1d0696d101e7817e790f35dbf,61,Female,Black,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
d1735c24676318c00dcf0617eefad3c0,75,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
f00b32492e6c02bd5a97bf361b119fce,53,Male,White,Conservative,No,Full-Time
685416e2b21d58b1a0ceb9792b07e598,44,Male,White,Conservative,Yes,Full-Time
42aff6827407d957498feaf9d05386e9,39,Female,White,Moderate,No,Unemployed (and job seeking)
51f6fdd9ecd717729f29565c3df0da18,52,Female,White,Conservative,No,Full-Time
10215d2f01ada7722909e9938eba8a3e,34,Female,Mixed,Liberal,No,Full-Time
32b0757a3daaca2faa12bccddcec71a8,68,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
fbbef43501eaae145a5f72336cb73863,29,Female,Black,Conservative,No,Part-Time
