id,question,valence_raw,valence_label,topic
pg8qts,Why are Christians pro life when the Bible gives directions on how to commit an abortion?,very liberal,SL,Should abortion be legal?
ppj86a,"Why is it that so many American men are all for punishing women who get abortions but the same men are completely offended when you ask them to get vasectomies, thus eradicating abortions they seemingly hate so much?",very liberal,SL,Should abortion be legal?
eli5_189329,Roe v Wade concluded that the right to abortion follows from the right to privacy. What was the reasoning behind this?,somewhat liberal,L,Should abortion be legal?
phsw1h,"For people that are pro-choice, what do you wish people would understand about being pro-choice?",somewhat liberal,L,Should abortion be legal?
psbd10,Should Abortion be legal?,neutral,N,Should abortion be legal?
pvs8uj,Are you pro life or pro choice? And why??,neutral,N,Should abortion be legal?
eli5_28960,Why are abortions not homicide but killing a pregnant female considered a double murder (in some jurisdictions)?,somewhat conservative,C,Should abortion be legal?
pj8zbe,If sex was made for the purpose of procreation wouldn't that mean abortion is against the laws of nature?,somewhat conservative,C,Should abortion be legal?
pjjdvo,"Why can't people recognize abortion for what it is? The killing/murder of an unborn child. No matter what wording you want to use, that's what it is.",very conservative,SC,Should abortion be legal?
p8gqz6,"Everyone agrees that if you take a new born baby and kill it you should go to jail for murder. Now if you count back, at how many weeks before birth, in your opinion, would you consider a person doing an abortion not a murderer and just someone who got rid of a lump of cells?",very conservative,SC,Should abortion be legal?
owln75,How come mass shootings by civilians outside of war was not commonplace until recently despite firearms existing for so long? Why weren't any schools shot up by violent students in the old west or during WW1 with the super lax gun laws of the time?,very liberal,SL,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
p49waw,"Americans who support private ownership of guns... why? Do school shootings not make you question your gun laws? Look at the uk which is well off without guns. (Don't pull the knife crime card, it's still higher in the u.s.)",very liberal,SL,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
ohgko5,Wouldn't better gun control in the US automatically reduce excessive use of force from the police because they'll feel safer around citizens ?,somewhat liberal,L,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
eli5_54878,"Why haven't the gun laws in the United States been changed, when it has shown for decades how dangerous it is?",somewhat liberal,L,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
pm6oiq,What are your opinions on gun control?,neutral,N,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
eli5_79745,Why does the 2nd amendment to the US constitution only protect guns?,neutral,N,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
eli5_182059,How are gun laws/restrictions in the United States not immediately violating the 2nd Amendment of the Constitution?,somewhat conservative,C,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
eli5_31189,"What are the popular arguments against gun reform in America? Not trying to start a debate, just legitimately curious what the main arguments are, as I'm not American.",somewhat conservative,C,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
eli5_104120,"How come Democrats say that we should end the ""War on Drugs"" because the people who want to do drugs will do them anyway, but then they say that we need tighter gun laws to keep the guns out of the hands of criminals? Isn't this a double standard?",very conservative,SC,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
owsfgg,"The 1st gun control laws were written in the 1620s to keep guns out of the hands of freed slaves. To anyone who still believes in gun control, how do you justify your racism?",very conservative,SC,Should the government impose stricter gun control measures or protect broad Second Amendment rights?
otcwdl,People who wanted to ban trans women from the Olympics: where are all those gold medals you thought they'd win?,very liberal,SL,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
osmu7a,What will it add to the transgender sports discussion if Laurel Hubbard loses to a natural born woman in the Olympic weightlifting event?,very liberal,SL,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
ppjlwk,"Should Transgender fighters like Alana McLaughlin be able to fight opponents who were born as women? As long as both parties agree to it, is this okay? And are you fine with this in other sports at all levels? What are your thoughts on this debate?",somewhat liberal,L,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
p4o5cq,Should transgender athletes be able to compete in athletic events? Should they have a separate division?,somewhat liberal,L,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
pnq7lf,Should Transgender Women be allowed to compete in sports with Cisgender Women?,neutral,N,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
pnl4pt,Should transgender/non-binary be allowed to compete in women's sports? Why or why not?,neutral,N,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
phzqbw,"People that think transgender women should be allowed to compete in women's sports, what's your argument?",somewhat conservative,C,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
oygws8,"People who believe trans woman (man to woman) should be allowed to compete in sports with biological women (such as mma and weightlifting), please explain your reasoning as why you think it is fair/okay?",somewhat conservative,C,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
pugtbr,"Why do we normalize mental disorders like they're not mental disorders anymore? Like, you're not transgender pal, you have a classified mental disorder called Gender Dysphoria.",very conservative,SC,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
custom_5421fd,What is the boundary line in MMA? Is it fair and should it be allowed for a trans girl to fight a normal girl?,very conservative,SC,Would you support policies that require trans athletes to compete on teams that match the sex they were assigned at birth?
eli5_86513,How exactly does Affirmative Action benefit colleges specifically?,very liberal,SL,Do you generally favor or oppose affirmative action programs for women and minorities?
